App Year,Application Id,Status,MCAT 2015 Highest Total,Sci Gpa,Total Gpa,CASPER Score,Gender,Race,Ethnicity
2022,2619,Rejected without interview,504,3.5,3.68,0.83,Female,White,White/Caucasian
2022,3153,Rejected without interview,502,3.84,3.66,0.53,Female,White,White/Caucasian
2022,3315,Rejected without interview,520,3.96,3.93,-1.24,Female,White,White/Caucasian
2022,3736,Rejected without interview,511,3.79,3.75,-0.75,Male,White,White/Caucasian
2022,4560,Rejected without interview,507,3.56,3.58,,Male,White,White/Caucasian
2022,5071,Rejected Without Interview,517,4,3.99,-1.59,Female,White,White/Caucasian
2022,5202,Rejected after interview,515,3.96,3.98,-0.35,[REDACTED],White,White/Caucasian
2022,5287,Rejected without interview,504,2.6,2.81,0.36,Female,White,White/Caucasian
2022,7,Withdrawn Through Match,516,3.72,3.79,-0.92,Female,White/Caucasian,White/Caucasian
2022,11,Offered Admission - Matriculated,505,3.86,3.9,-1.13,Female,White/Caucasian,White/Caucasian
2022,12,Withdrawn Through Match,505,3.81,3.83,0.22,Female,White/Caucasian,White/Caucasian
2022,13,Withdrawn Through Match,502,4,4,-1.5,Male,White/Caucasian,White/Caucasian
2022,15,Withdrawn Through Match,506,3.69,3.74,-1.34,Female,White/Caucasian,White/Caucasian
2022,16,Withdrawn Through Match,509,3.99,3.99,-2.15,Female,White/Caucasian,White/Caucasian
2022,25,Withdrawn Through Match,515,4,4,0.01,Male,White/Caucasian,White/Caucasian
2022,26,Withdrawn Through Match,512,3.81,3.88,-0.89,Female,White/Caucasian,White/Caucasian
2022,42,Offered Admission - Matriculated,514,3.83,3.86,-1.64,Male,White/Caucasian,White/Caucasian
2022,43,Withdrawn Through Match,514,4,4,0.23,Female,White/Caucasian,White/Caucasian
2022,45,Rejected Without Interview,486,3.96,3.96,-0.08,Female,White/Caucasian,White/Caucasian
2022,52,Withdrawn Through Match,509,4,3.98,2.32,Female,White/Caucasian,White/Caucasian
2022,61,Withdrawn Through Match,511,4,4,1.48,Male,White/Caucasian,White/Caucasian
2022,70,Withdrawn Through Match,503,3.24,3.43,0.59,Female,White/Caucasian,White/Caucasian
2022,73,Withdrawn Through Match,525,4,4,0.3,Female,White/Caucasian,White/Caucasian
2022,85,Withdrawn Through Match,507,3.83,3.88,-2.26,Male,White/Caucasian,White/Caucasian
2022,92,Rejected Without Interview,513,4,4,-0.15,Male,White/Caucasian,White/Caucasian
2022,93,Rejected Without Interview,507,3.65,3.43,-1.64,Male,White/Caucasian,White/Caucasian
2022,95,Rejected Without Interview,516,3.65,3.59,0.3,Male,White/Caucasian,White/Caucasian
2022,3281,Offered Admission - Declined,525,4,4,1.28,Male,Asian,Asian
2022,97,Rejected Without Interview,516,3.92,3.96,0.59,Female,White/Caucasian,White/Caucasian
2022,98,Rejected Without Interview,507,3.77,3.87,1.74,Female,White/Caucasian,White/Caucasian
2022,100,Rejected Without Interview,511,3.91,3.88,,Male,White/Caucasian,White/Caucasian
2022,103,Rejected Without Interview,511,4,3.84,-0.08,Male,White/Caucasian,White/Caucasian
2022,104,Rejected Without Interview,513,3.72,3.77,-2.92,Male,White/Caucasian,White/Caucasian
2022,105,Rejected Without Interview,505,3.82,3.85,-0.15,Female,White/Caucasian,White/Caucasian
2022,107,Rejected Without Interview,506,3.75,3.8,0.44,Female,White/Caucasian,White/Caucasian
2022,109,Rejected Without Interview,510,3.97,3.98,-0.67,Male,White/Caucasian,White/Caucasian
2022,113,Rejected Without Interview,510,3.84,3.86,,Male,White/Caucasian,White/Caucasian
2022,114,Offered Admission - Matriculated,516,4,4,0.37,Male,White/Caucasian,White/Caucasian
2022,115,Offered Admission - Matriculated,518,3.83,3.9,0.59,Male,White/Caucasian,White/Caucasian
2022,116,Rejected Without Interview,510,4,3.98,-1.17,Female,White/Caucasian,White/Caucasian
2022,117,Rejected Without Interview,512,3.84,3.92,0.37,Female,White/Caucasian,White/Caucasian
2022,120,Rejected Without Interview,513,3.82,3.88,0.88,Female,White/Caucasian,White/Caucasian
2022,121,Rejected Without Interview,500,3.49,3.58,-0.03,Female,White/Caucasian,White/Caucasian
2022,122,Rejected Without Interview,493,3.23,3.35,-2.02,Male,White/Caucasian,White/Caucasian
2022,125,Rejected Without Interview,514,3.39,3.65,0.23,Female,White/Caucasian,White/Caucasian
2022,126,Withdrawn Through Match,514,3.96,3.97,0.97,Male,White/Caucasian,White/Caucasian
2022,131,Rejected Without Interview,514,3.38,3.56,0.29,Female,White/Caucasian,White/Caucasian
2022,134,Rejected Without Interview,514,3.63,3.59,-1.49,Male,White/Caucasian,White/Caucasian
2022,137,Rejected Without Interview,508,3.37,3.48,-0.59,Male,White/Caucasian,White/Caucasian
2022,142,Rejected Without Interview,510,4,3.97,-1.17,Male,White/Caucasian,White/Caucasian
2022,144,Offered Admission - Matriculated,512,3.24,3.44,0.91,Female,White/Caucasian,White/Caucasian
2022,145,Rejected Without Interview,509,3.96,3.98,,Male,White/Caucasian,White/Caucasian
2022,149,Rejected Without Interview,502,3.9,3.94,0.29,Male,White/Caucasian,White/Caucasian
2022,151,Rejected Without Interview,508,3.26,3.51,-0.11,Female,White/Caucasian,White/Caucasian
2022,153,Withdrawn Through Match,523,4,4,0.07,Female,White/Caucasian,White/Caucasian
2022,154,Withdrew Application Before Interview,509,3.68,3.67,,Male,White/Caucasian,White/Caucasian
2022,155,Rejected Without Interview,509,3.83,3.91,0.29,Female,White/Caucasian,White/Caucasian
2022,156,Rejected Without Interview,516,3.2,3.46,1.82,Female,White/Caucasian,White/Caucasian
2022,157,Rejected Without Interview,502,3.94,3.97,-0.81,Female,White/Caucasian,White/Caucasian
2022,160,Rejected Without Interview,517,4,4,0.62,Male,White/Caucasian,White/Caucasian
2022,165,Rejected Without Interview,515,3.97,3.93,-0.95,Male,White/Caucasian,White/Caucasian
2022,166,Rejected Without Interview,506,3.03,3.32,-0.89,Female,White/Caucasian,White/Caucasian
2022,168,Rejected Without Interview,507,3.94,3.94,-0.15,Female,White/Caucasian,White/Caucasian
2022,169,Withdrawn Through Match,507,3.77,3.84,1.38,Male,White/Caucasian,White/Caucasian
2022,172,Rejected Without Interview,514,4,4,-0.15,Female,White/Caucasian,White/Caucasian
2022,173,Rejected Without Interview,517,3.39,3.63,0.56,Male,White/Caucasian,White/Caucasian
2022,174,Rejected Without Interview,,3.56,3.66,,Male,White/Caucasian,White/Caucasian
2022,176,Rejected Without Interview,494,3.59,3.57,-0.58,Male,White/Caucasian,White/Caucasian
2022,177,Rejected Without Interview,511,3.61,3.77,0.73,Female,White/Caucasian,White/Caucasian
2022,178,Rejected Without Interview,513,3.99,3.99,-1.82,Male,White/Caucasian,White/Caucasian
2022,179,Rejected Without Interview,512,4,4,-0.81,Female,White/Caucasian,White/Caucasian
2022,183,Rejected Without Interview,498,3.58,3.63,,Male,White/Caucasian,White/Caucasian
2022,186,Rejected Without Interview,509,3.88,3.9,-0.88,Female,White/Caucasian,White/Caucasian
2022,189,Rejected Without Interview,514,3.88,3.9,-0.62,Male,White/Caucasian,White/Caucasian
2022,190,Rejected Without Interview,515,3.35,3.65,-0.66,Male,White/Caucasian,White/Caucasian
2022,193,Rejected Without Interview,512,3.94,3.97,0.48,Female,White/Caucasian,White/Caucasian
2022,195,Rejected Without Interview,506,3.51,3.66,-1.62,Male,White/Caucasian,White/Caucasian
2022,197,Rejected Without Interview,511,3.63,3.79,1.16,Female,White/Caucasian,White/Caucasian
2022,198,Rejected Without Interview,509,3.81,3.89,-0.44,Female,White/Caucasian,White/Caucasian
2022,200,Rejected Without Interview,511,3.79,3.81,-0.81,Male,White/Caucasian,White/Caucasian
2022,201,Rejected Without Interview,511,3.7,3.76,-0.59,Female,White/Caucasian,White/Caucasian
2022,202,Rejected Without Interview,507,3.52,3.84,1.61,Male,White/Caucasian,White/Caucasian
2022,205,Rejected Without Interview,517,3.8,3.84,0.08,Male,White/Caucasian,White/Caucasian
2022,207,Rejected Without Interview,509,3.64,3.69,0.94,Female,White/Caucasian,White/Caucasian
2022,210,Rejected Without Interview,516,4,4,0.22,Male,White/Caucasian,White/Caucasian
2022,211,Rejected Without Interview,507,3.45,3.63,0.37,Female,White/Caucasian,White/Caucasian
2022,215,Rejected Without Interview,510,3.83,3.88,-1.97,Male,White/Caucasian,White/Caucasian
2022,216,Rejected Without Interview,510,3.96,3.98,0.73,Male,White/Caucasian,White/Caucasian
2022,217,Rejected Without Interview,511,4,4,-1.06,Male,White/Caucasian,White/Caucasian
2022,218,Rejected Without Interview,509,3.83,3.83,0.66,Male,White/Caucasian,White/Caucasian
2022,219,Rejected Without Interview,518,4,4,0.48,Female,White/Caucasian,White/Caucasian
2022,220,Rejected Without Interview,519,3.61,3.68,-1.06,Male,White/Caucasian,White/Caucasian
2022,4357,Offered Admission - Declined,525,4,3.98,0.65,Male,Asian,Asian
2022,225,Rejected Without Interview,504,3.94,3.95,-1.42,Female,White/Caucasian,White/Caucasian
2022,228,Offered Admission - Matriculated,520,4,4,0.44,Female,White/Caucasian,White/Caucasian
2022,230,Rejected Without Interview,511,3.42,3.47,1.11,Female,White/Caucasian,White/Caucasian
2022,235,Offered Admission - Matriculated,522,4,3.98,0.97,Male,White/Caucasian,White/Caucasian
2022,237,Rejected Without Interview,505,3.86,3.84,1.26,Male,White/Caucasian,White/Caucasian
2022,238,Rejected Without Interview,514,3.72,3.79,-0.73,Female,White/Caucasian,White/Caucasian
2022,242,Rejected Without Interview,509,3.86,3.92,0,Female,White/Caucasian,White/Caucasian
2022,244,Rejected Without Interview,510,3.73,3.79,-0.43,Female,White/Caucasian,White/Caucasian
2022,245,Rejected Without Interview,504,3.59,3.77,0.73,Female,White/Caucasian,White/Caucasian
2022,246,Rejected Without Interview,509,3.59,3.62,-0.47,Male,White/Caucasian,White/Caucasian
2022,247,Rejected Without Interview,515,3.91,3.94,-1.5,Female,White/Caucasian,White/Caucasian
2022,250,Rejected Without Interview,510,3.55,3.74,-0.52,Male,White/Caucasian,White/Caucasian
2022,251,Rejected Without Interview,509,3.68,3.75,-1.04,Female,White/Caucasian,White/Caucasian
2022,256,Rejected Without Interview,509,3.84,3.78,-0.29,Male,White/Caucasian,White/Caucasian
2022,258,Rejected Without Interview,511,3.4,3.62,0.38,Female,White/Caucasian,White/Caucasian
2022,259,Rejected Without Interview,508,3.64,3.8,1.52,Male,White/Caucasian,White/Caucasian
2022,260,Rejected Without Interview,507,3.96,3.98,-0.44,Male,White/Caucasian,White/Caucasian
2022,261,Rejected Without Interview,498,3.32,3.6,-1.53,Female,White/Caucasian,White/Caucasian
2022,262,Rejected Without Interview,507,3.67,3.81,-0.98,Female,White/Caucasian,White/Caucasian
2022,264,Rejected Without Interview,507,3.01,3.09,-1.32,Male,White/Caucasian,White/Caucasian
2022,265,Rejected After Interview,519,4,4,1.04,Female,White/Caucasian,White/Caucasian
2022,267,Rejected Without Interview,501,3.6,3.39,,Female,White/Caucasian,White/Caucasian
2022,269,Rejected Without Interview,513,3.63,3.56,-0.37,Male,White/Caucasian,White/Caucasian
2022,273,Rejected Without Interview,505,3.21,3.49,-1.64,Female,White/Caucasian,White/Caucasian
2022,274,Rejected Without Interview,511,3.74,3.89,0.79,Female,White/Caucasian,White/Caucasian
2022,275,Rejected Without Interview,513,3.86,3.88,0.3,Male,White/Caucasian,White/Caucasian
2022,276,Rejected Without Interview,510,3.42,3.52,2.47,Female,White/Caucasian,White/Caucasian
2022,280,Withdrawn Through Match,506,3.96,3.94,0.73,Male,White/Caucasian,White/Caucasian
2022,282,Rejected Without Interview,512,3.1,3.22,-1.12,Male,White/Caucasian,White/Caucasian
2022,284,Rejected Without Interview,503,3.55,3.67,-0.18,Male,White/Caucasian,White/Caucasian
2022,285,Rejected After Interview,525,4,4,-0.29,Male,White/Caucasian,White/Caucasian
2022,288,Rejected Without Interview,510,3.96,3.98,-0.51,Male,White/Caucasian,White/Caucasian
2022,289,Rejected Without Interview,506,3.66,3.87,-1,Female,White/Caucasian,White/Caucasian
2022,290,Rejected Without Interview,503,3.55,3.57,-1.25,Male,White/Caucasian,White/Caucasian
2022,295,Withdrawn Through Match,520,4,4,0.73,Male,White/Caucasian,White/Caucasian
2022,296,Withdrew Application Before Interview,,4,4,,Female,White/Caucasian,White/Caucasian
