Entry Year,,,Status,,,Gender,,,,,,,,Ethnicity,,MCAT Highest Total,,,,,,,GPA‐Total,,Sci GPA
2022,,MA,,,Male,,,,,,,White/Caucasian,,,,,516,,,,,3.83,,3.71,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,516,,,,,3.56,,3.31,
2022,,MA,,,Male,,,,,,,Asian,,,,,515,,,,,3.87,,3.78,
2022,,MA,,,Male,,,,,,,Hispanic,,,,,516,,,,,4,,4,
2022,,MA,,,Male,,,,,,,White/Caucasian,,,,,512,,,,,4,,4,
2022,,MA,,,Female,,,,,,,Asian,,,,,516,,,,,3.95,,3.86,
2022,,MA,,,Female,,,,,,,African American,,,,,506,,,,,3.74,,3.56,
2022,,MA,,,Female,,,,,,,Asian,,,,,511,,,,,4,,4,
2022,,MA,,,Female,,,,,,,Asian,,,,,511,,,,,3.82,,3.76,
2022,,MA,,,Male,,,,,,,Asian,,,,,514,,,,,4,,4,
2022,,MA,,,Female,,,,,,,Asian,,,,,512,,,,,3.93,,3.88,
2022,,MA,,,Male,,,,,,,Asian,,,,,521,,,,,4,,4,
2022,,MA,,,Female,,,,,,,Hispanic,,,,,502,,,,,3.84,,3.81,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,510,,,,,3.91,,3.89,
2022,,MA,,,Male,,,,,,,,,,,,525,,,,,3.99,,4,
2022,,MA,,,Female,,,,,,,Asian,,,,,512,,,,,3.73,,3.6,
2022,,MA,,,Female,,,,,,,Asian,,,,,515,,,,,3.68,,3.3,
2022,,MA,,,Female,,,,,,,Hispanic,,,,,506,,,,,3.96,,3.97,
2022,,MA,,,Female,,,,,,,Asian,,,,,514,,,,,3.72,,3.45,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,512,,,,,3.78,,3.6,
2022,,MA,,,Male,,,,,,,Unreported,,,,,509,,,,,3.95,,3.89,
2022,,MA,,,Male,,,,,,,,,,,,516,,,,,3.98,,3.97,
2022,,MA,,,Female,,,,,,,Asian,,,,,511,,,,,3.66,,3.5,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,512,,,,,3.83,,3.76,
2022,,MA,,,Female,,,,,,,Asian,,,,,509,,,,,3.97,,3.94,
2022,,MA,,,Male,,,,,,,Asian,,,,,518,,,,,3.95,,3.87,
2022,,MA,,,Male,,,,,,,White/Caucasian,,,,,512,,,,,3.85,,3.74,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,508,,,,,3.81,,3.7,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,519,,,,,4,,4,
2022,,MA,,,Male,,,,,,,Asian,,,,,516,,,,,4,,4,
2022,,MA,,,Female,,,,,,,Asian,,,,,513,,,,,3.96,,3.95,
2022,,MA,,,Female,,,,,,,Hispanic,,,,,512,,,,,3.62,,3.49,
2022,,MA,,,Female,,,,,,,African American,,,,,507,,,,,3.55,,3.26,
2022,,MA,,,Female,,,,,,,Asian,,,,,520,,,,,3.97,,4,
2022,,MA,,,Male,,,,,,,Asian,,,,,512,,,,,3.84,,3.81,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,514,,,,,3.88,,3.73,
2022,,MA,,,Male,,,,,,,Hispanic,,,,,504,,,,,3.95,,4,
2022,,MA,,,Male,,,,,,,White/Caucasian,,,,,512,,,,,3.86,,3.83,
2022,,MA,,,Male,,,,,,,Hispanic,,,,,513,,,,,3.67,,3.44,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,515,,,,,4,,4,
2022,,MA,,,Male,,,,,,,White/Caucasian,,,,,501,,,,,3.75,,3.71,
2022,,MA,,,Male,,,,,,,Hispanic,,,,,509,,,,,4,,4,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,512,,,,,3.95,,3.87,
2022,,MA,,,Male,,,,,,,Asian,,,,,512,,,,,3.94,,3.91,
2022,,MA,,,Female,,,,,,,Asian,,,,,512,,,,,3.85,,3.72,
2022,,MA,,,Male,,,,,,,Multiple,,,,,511,,,,,3.91,,3.86,
2022,,MA,,,Male,,,,,,,Asian,,,,,512,,,,,3.84,,3.82,
2022,,MA,,,Male,,,,,,,African American,,,,,507,,,,,3.44,,3.31,
2022,,MA,,,Male,,,,,,,Hispanic,,,,,512,,,,,3.97,,4,
2022,,MA,,,Male,,,,,,,Asian,,,,,515,,,,,4,,4,
2022,,MA,,,Male,,,,,,,White/Caucasian,,,,,522,,,,,4,,4,
2022,,MA,,,Female,,,,,,,Unreported,,,,,527,,,,,4,,4,
2022,,MA,,,Female,,,,,,,Asian,,,,,511,,,,,3.75,,3.7,
2022,,MA,,,Male,,,,,,,White/Caucasian,,,,,514,,,,,3.84,,3.77,
2022,,MA,,,Male,,,,,,,White/Caucasian,,,,,516,,,,,3.68,,3.57,
2022,,MA,,,Male,,,,,,,,,,,,517,,,,,3.95,,3.95,
2022,,MA,,,Female,,,,,,,Asian,,,,,509,,,,,3.9,,3.84,
2022,,MA,,,Male,,,,,,,Hispanic,,,,,505,,,,,3.75,,3.75,
2022,,MA,,,Female,,,,,,,Hispanic,,,,,505,,,,,3.53,,3.16,
2022,,MA,,,Female,,,,,,,Multiple,,,,,511,,,,,3.74,,3.62,
2022,,MA,,,Male,,,,,,,Asian,,,,,512,,,,,3.88,,3.79,
2022,,MA,,,Male,,,,,,,Hispanic,,,,,517,,,,,3.59,,3.62,
2022,,MA,,,Male,,,,,,,Asian,,,,,510,,,,,3.97,,3.95,
2022,,MA,,,Male,,,,,,,Hispanic,,,,,508,,,,,3.69,,3.55,
2022,,MA,,,Male,,,,,,,White/Caucasian,,,,,513,,,,,3.77,,3.78,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,515,,,,,3.88,,3.8,
